first_name,last_name,full_name,pos,war_pos,war_p,war_tot,war_162,wae,wam,wwpa,wwar,c_pct,rp_pct,wwar_norm,is_pitcher,is_hitter,b_pa,b_ab,b_h,b_2b,b_3b,b_hr,b_bb,b_hbp,b_sf,ba,obp,slg,ops_plus,p_w,p_l,p_sv,p_ip,p_h,p_er,p_bb,p_so,p_hr,era,era_plus,hof_status,induction_year
Ted,Williams,Ted Williams,LF,125.3,0.0,125.3,131.8,74.7,33.9,-0.1,240.3,,,240.3,,yes,9788,7706,2654,525,71,521,2021,39,20,0.344,0.482,0.634,190,,,,,,,,,,,,hof,2010
Carl,Yastrzemski,Carl Yastrzemski,LF,88.7,0.0,88.7,88.7,36.4,13.6,0.7,139.4,,,139.4,,yes,13992,11988,3419,646,59,452,1845,40,105,0.285,0.379,0.462,129,,,,,,,,,,,,hof,1995
Roger,Clemens,Roger Clemens,P,0.1,74.8,74.9,77.4,39.9,13.7,1.2,132.2,,0.003,132.3,yes,,,,,,,,,,,,,,,192,111,0,2776.0,2359,943,856,2590,194,3.06,145,ineligible
Wade,Boggs,Wade Boggs,3B,71.5,0.0,71.5,71.5,39.5,14.7,0.7,126.4,,,126.4,,yes,7323,6213,2098,422,47,85,1004,22,61,0.338,0.428,0.462,142,,,,,,,,,,,,hof,2004
Cy,Young,Cy Young,P,1.3,56.3,57.6,63.7,36.2,15.2,1.1,116.2,,0.092,118.1,yes,,,,,,,,,,,,,,,192,112,9,2728.3,2347,606,299,1341,34,2.00,147,hof,1995
Tris,Speaker,Tris Speaker,CF,56.2,0.0,56.2,59.1,35.4,14.8,2.2,111.5,,,111.5,,yes,4551,3935,1327,241,106,39,459,55,0,0.337,0.414,0.482,166,,,,,,,,,,,,hof,2006
Babe,Ruth,Babe Ruth,P,22.2,18.3,40.5,45.5,25.7,12.4,5.3,88.9,,0.095,90.4,yes,yes,1328,1110,342,82,30,49,190,8,0,0.308,0.413,0.568,191,89,46,4,1190.3,934,290,425,483,9,2.19,125,hof,1995
Pedro,Martinez,Pedro Martinez,P,-0.4,47.6,47.2,47.2,26.2,8.2,1.5,83.1,,0.010,83.3,yes,,,,,,,,,,,,,,,117,37,0,1383.7,1044,387,309,1683,103,2.52,191,ineligible
Dwight,Evans,Dwight Evans,RF,61.1,0.0,61.1,61.1,16.2,1.1,2.4,80.8,,,80.8,,yes,10240,8726,2373,474,72,379,1337,51,75,0.272,0.369,0.473,127,,,,,,,,,,,,hof,2000
Carlton,Fisk,Carlton Fisk,C,37.7,0.0,37.7,37.7,20.6,8.0,1.5,67.8,0.918,,78.6,,yes,4353,3860,1097,207,33,162,389,59,32,0.284,0.356,0.481,126,,,,,,,,,,,,hof,1997
Nomar,Garciaparra,Nomar Garciaparra,SS,40.9,0.0,40.9,40.9,22.4,4.5,0.4,68.2,,,68.2,,yes,4345,3968,1281,279,50,178,279,46,48,0.323,0.370,0.553,133,,,,,,,,,,,,ineligible
Bobby,Doerr,Bobby Doerr,2B,47.7,0.0,47.7,50.2,14.4,0.4,0.3,65.3,,,65.3,,yes,8028,7093,2042,381,89,223,809,11,0,0.288,0.362,0.461,115,,,,,,,,,,,,hof,1995
Lefty,Grove,Lefty Grove,P,-2.1,38.7,36.6,38.5,19.4,5.8,0.0,63.7,,0.112,64.9,yes,,,,,,,,,,,,,,,105,62,4,1539.7,1587,571,447,743,78,3.34,143,hof,1995
Jim,Rice,Jim Rice,LF,41.5,0.0,41.5,41.5,13.0,1.0,0.4,55.9,,,55.9,,yes,9058,8225,2452,373,79,382,670,64,94,0.298,0.352,0.502,128,,,,,,,,,,,,hof,2006
Harry,Hooper,Harry Hooper,RF,39.1,0.0,39.1,42.8,8.0,0.3,3.1,54.2,,,54.2,,yes,7334,6270,1707,246,130,30,826,54,0,0.272,0.362,0.367,114,,,,,,,,,,,,hof,1995
Smoky Joe,Wood,Smoky Joe Wood,P,3.7,26.6,30.3,31.9,12.7,4.2,1.5,50.2,,0.280,52.7,yes,,,,,,,,,,,,,,,117,56,8,1416.0,1117,313,412,986,10,1.99,149,hof,2008
Luis,Tiant,Luis Tiant,P,-0.5,34.0,33.5,33.5,14.2,1.5,2.3,51.5,,0.131,52.6,yes,,,,,,,,,,,,,,,122,81,3,1774.7,1630,663,501,1075,170,3.36,119,hof,2006
Jimmie,Foxx,Jimmie Foxx,1B,33.6,0.0,33.6,35.3,14.6,2.6,0.0,52.5,,,52.5,,yes,3935,3288,1051,181,45,222,624,6,0,0.320,0.429,0.605,156,,,,,,,,,,,,hof,1995
Rico,Petrocelli,Rico Petrocelli,SS,35.6,0.0,35.6,35.6,11.4,3.3,0.5,50.8,,,50.8,,yes,6171,5390,1352,237,22,210,661,26,57,0.251,0.332,0.420,108,,,,,,,,,,,,hof,1995
John,Valentin,John Valentin,SS,30.5,0.0,30.5,33.2,11.2,2.5,0.6,47.6,,,47.6,,yes,4269,3709,1043,266,17,121,441,43,40,0.281,0.361,0.460,110,,,,,,,,,,,,hof,2008
Fred,Lynn,Fred Lynn,CF,29.7,0.0,29.7,29.7,12.9,3.5,-0.1,46.0,,,46.0,,yes,3513,3062,944,217,29,124,382,13,41,0.308,0.383,0.520,140,,,,,,,,,,,,hof,2002
